IQRAccX,IQRAccY,IQRAccZ,IQRGyroX,IQRGyroY,IQRGyroZ,IQRMagX,IQRMagY,IQRMagZ,KurtosisAccX,KurtosisAccY,KurtosisAccZ,KurtosisGyroX,KurtosisGyroY,KurtosisGyroZ,KurtosisMagX,KurtosisMagY,KurtosisMagZ,MADAccX,MADAccY,MADAccZ,MADGyroX,MADGyroY,MADGyroZ,MADMagX,MADMagY,MADMagZ,MaxAccX,MaxAccY,MaxAccZ,MaxGyroX,MaxGyroY,MaxGyroZ,MaxMagX,MaxMagY,MaxMagZ,MedianAccX,MedianAccY,MedianAccZ,MedianGyroX,MedianGyroY,MedianGyroZ,MedianMagX,MedianMagY,MedianMagZ,MinAccX,MinAccY,MinAccZ,MinGyroX,MinGyroY,MinGyroZ,MinMagX,MinMagY,MinMagZ,RMSAccX,RMSAccY,RMSAccZ,RMSGyroX,RMSGyroY,RMSGyroZ,RMSMagX,RMSMagY,RMSMagZ,SkewAccX,SkewAccY,SkewAccZ,SkewGyroX,SkewGyroY,SkewGyroZ,SkewMagX,SkewMagY,SkewMagZ,StdAccX,StdAccY,StdAccZ,StdGyroX,StdGyroY,StdGyroZ,StdMagX,StdMagY,StdMagZ,VarianceAccX,VarianceAccY,VarianceAccZ,VarianceGyroX,VarianceGyroY,VarianceGyroZ,VarianceMagX,VarianceMagY,VarianceMagZ,meanAccX,meanAccY,meanAccZ,meanGyroY,meanGyroZ,meanMagX,meanMagY,Label
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.023191278,-1.503189206,-0.5050218112,-0.05659928873,-1.733029898,-0.5765134772,-1.554798914,-1.620866994,-0.9845963795,0.9371550862,0.3194844695,1.412832441,0.1364201605,1.064901282,0.104042352,13.23899807,2.941998747,1.940782643,-0.579426,4.252319,6.957905,0.62861,1.795232,0.125052,7.035417,43.294872,-39.271121,-8.1670385,4.0104925,3.390362,0.4300685,1.0565935,-0.0026485,-4.0588945,39.4163735,-46.7762675,-8.8159,1.834052,1.853207,0.032319,0.001566,-0.251258,-12.988463,37.341827,-48.696189,7.064008674,3.527563647,4.241264036,0.447620183,1.222510162,0.1250568148,8.749327821,39.87552377,45.32925005,0.8461044108,-0.6732894766,0.7385457212,-0.9463568554,-0.125073051,-0.7092872341,0.09039659058,0.2418238011,0.7483570646,3.212076763,1.081645873,1.630044367,0.1886561903,0.725780857,0.1231692235,7.970805982,2.332771384,3.348225086,10.31743713,1.169957795,2.65704464,0.03559115813,0.5267578524,0.01517065761,63.533748,5.441822329,11.21061123,-6.291484833,3.357640167,3.915517333,0.9837546667,-0.021646,-3.6079065,39.80723017,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.641321488,-1.415467673,-0.884716769,-0.1537312102,-1.597360892,-0.8948475313,-1.559880013,-1.48005377,-1.497949629,5.417041547,1.260189647,0.8129107964,0.1081877078,1.047528891,0.1354327475,12.57036078,3.075727985,1.811394465,0.593792,5.248358,6.239607,0.250169,-0.237856,0.214536,5.592255,41.13013,-37.874813,-5.660181,3.4358545,5.384834,-0.2105645,-1.0526625,-0.0375365,-5.682452,38.7849895,-44.332731,-10.05616,2.284185,3.950634,-0.69873,-2.320213,-0.210511,-14.61202,35.177085,-46.078113,6.453946473,3.709999339,5.291718892,0.3593765098,1.495618641,0.1385247304,9.379399399,38.60740491,42.72256676,0.1530690425,0.2857086516,-0.4466936885,0.03568125446,-0.2544208567,0.3438244523,0.1308789241,-0.2381289557,0.589934921,4.050176625,1.069908067,0.7466399384,0.2776374419,0.8381704101,0.1372179263,7.978740197,2.203647114,3.396403608,16.40393069,1.144703272,0.5574711977,0.07708254912,0.7025296363,0.01882875929,63.66029513,4.856060602,11.53555747,-5.0248875,3.552378333,5.238780167,-1.238687,-0.01898266667,-4.930805,38.54446333,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.405796891,0.02596924643,-0.3034423145,-1.719337282,-0.3691514863,-1.570693815,-1.693469339,-1.349191587,-1.660428324,2.988957207,0.2413883976,1.228241051,0.2550713335,0.265732726,0.2025560803,11.2330899,1.604725646,1.552624039,-0.201123,4.400767,5.741588,0.456834,2.160624,0.013197,4.149092,40.588943,-39.969272,-7.393671,3.897959,4.803013,0.284791,1.633576,-0.207049,-7.396207,37.341827,-43.460041,-9.409692,2.078273,2.51404,0.068273,0.455908,-0.35752,-14.972811,36.259456,-44.50727,6.763183669,3.755707742,4.835450169,0.305693453,1.580846752,0.2403599335,9.492290846,37.99178156,42.69936313,0.4985725417,-1.300656656,-1.069175536,-0.09242626532,-0.8299699086,0.1815029749,0.1424284273,0.4905421536,0.3574278412,3.552558525,0.8151093548,1.161688206,0.1636302041,0.5617489768,0.1451249967,7.747847356,1.667462173,1.897899383,12.62067208,0.6644032603,1.349519489,0.02677484369,0.315561913,0.02106126466,60.02913865,2.780430098,3.602022069,-5.7549962,3.6661884,4.693832,1.477672,-0.1916028,-5.4840174,37.9551714,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.53697921,-1.117793361,-0.4191388087,-0.3646732522,-1.308557014,-0.2477339214,-1.4588946,-1.509738829,-0.2429959033,4.437289075,1.306337123,0.5537741676,0.2728388385,1.060558741,0.08844611795,7.75617865,1.337273101,2.846480617,1.403074,5.674547,5.698491,0.512228,-0.208827,0.267533,5.051068,39.326175,-39.445659,-6.593967,3.629795,5.324976,-0.210032,-1.455472,0.024383,-0.180395,36.800643,-41.714656,-9.586873,2.58587,2.820513,-0.714442,-2.28213,-0.27283,-14.431625,35.898666,-45.205425,6.595939492,3.99718793,4.877781409,0.3923314918,1.390287225,0.1582502247,8.183098485,37.54154637,41.43333023,0.3667488653,0.4851228615,-0.9488452526,0.4155859963,0.003976495973,-0.3674470688,-0.4388393333,0.2333205807,-0.8346237814,4.273884663,1.069539468,0.9763408279,0.3589824032,0.6988148313,0.1564657523,7.57625227,1.204351782,1.883140054,18.26609011,1.143914673,0.9532414121,0.1288683658,0.4883421684,0.02448153163,57.39959846,1.450463214,3.546216465,-5.023975286,3.851440857,4.77907,-1.201897,0.02369814286,-3.092491286,37.52222329,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.512675768,-1.367890318,-0.5014946432,-1.021723222,-1.679233136,1.497739537,-1.689476194,-1.588924895,-1.578836974,2.151196515,1.455429085,0.8164601461,0.2242732376,0.8429987258,0.04580203034,12.03545198,2.94200023,2.070164891,0.507597,4.793436,6.162989,0.450176,1.850627,0.090697,7.396207,40.949733,-38.398429,-8.207742,3.634583,3.974577,0.103427,0.615434,-0.001716,-5.411859,38.784992,-45.5545,-9.658702,2.202778,1.211528,-0.22974,0.04684,-0.379625,-13.529648,36.439849,-46.950805,6.85097462,3.520992458,4.40258769,0.2507719847,1.224447035,0.1494551883,8.915043562,38.48736447,43.47410686,0.4856245668,0.1380637978,-0.3327343957,-0.1022717079,0.1034315871,-1.702531444,0.07297168357,0.06388714001,0.445977969,3.970807891,0.894737423,1.560183173,0.2161142459,0.6912121556,0.1431369879,8.302664708,1.696177997,3.470403312,15.76731531,0.8005550561,2.434171534,0.04670536727,0.477774244,0.02048819729,68.93424126,2.877019798,12.04369915,-5.582879,3.405412286,4.116868571,1.010691,-0.042996,-3.247115714,38.44997014,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.261350551,-1.365170002,-0.0815101309,-0.9074368644,-1.648810902,-0.4481960665,-1.293017089,-1.461914762,-1.722955246,3.067053279,0.2058904527,0.4330784862,0.3004789916,0.980799189,0.02211152949,9.093453234,2.1396337,4.140335712,-1.580254,4.386401,5.071177,0.160153,-0.736673,0.069125,6.674626,40.408546,-41.191043,-8.121546,4.24753,4.77907,-0.148512,-1.549483,-0.025685,-0.360791,38.243804,-44.681808,-10.190242,2.528406,2.854034,-0.651058,-2.211022,-0.174825,-10.102137,36.259456,-47.474422,7.3224043,3.790981879,4.512101725,0.3315305297,1.569457288,0.08744166952,6.25792327,38.23878306,44.51493505,0.5069409086,-0.6118601059,-1.269386664,-0.5525861408,0.05941125974,-0.5095833769,-0.3048374807,0.1026697984,0.07688866158,3.145931347,0.7407564146,0.8189430911,0.2835188823,0.5853440403,0.07815556338,6.245326093,1.540874883,2.625278809,9.89688404,0.5487200657,0.6706677865,0.08038295661,0.3426276455,0.006108292087,39.00409801,2.374295404,6.892088823,-6.6121646,3.7179058,4.4371606,-1.4562172,-0.0392142,-0.3968698,38.2077248,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.542547732,-1.467505139,-1.590021006,-0.8820619414,-0.2448217442,0.005520426146,-1.583806767,-0.3674557694,-0.5838918885,4.068106297,1.299238424,1.036550963,0.2238773828,0.3427272244,0.02921912452,8.558543697,1.604725646,2.070170821,-0.038309,4.822168,5.166951,0.572949,1.971536,0.093892,3.247116,41.851711,-41.889194,-6.541292,3.945845,4.467808,0.303167,1.375245,-0.048056,-9.019765,40.408546,-47.125343,-9.285188,2.154891,3.251492,0.042173,0.028731,-0.087472,-14.792415,35.718269,-48.521652,6.537439149,3.81676938,4.407001981,0.3784566882,1.420888385,0.07148653426,9.992011036,39.59699401,46.06515417,0.3434509206,-0.3367799248,-0.2240405671,-0.3333881911,-1.030581943,1.2961317,0.2975361888,-0.9493063002,0.8595033639,3.655676952,1.017519081,0.7685348057,0.1783572187,0.6570934682,0.06430648456,7.130887582,2.073840202,2.287983885,13.36397398,1.035345081,0.5906457476,0.03181129748,0.431771826,0.004135323956,50.8495577,4.300813185,5.234870257,-5.4197912,3.6786388,4.3394724,1.2598222,-0.031225,-6.9993376,39.5426494,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.571013762,-1.17181458,-0.3396071294,-0.6574725043,-0.8301586528,-1.55576237,-1.520168012,-0.1040234147,-1.31965076,4.472785538,1.043649662,1.050749844,0.3731309481,0.635308394,0.1302999786,11.76799795,1.069816109,1.293855095,0.114928,4.692874,6.172566,0.343115,-0.262357,0.104812,5.592255,41.671314,-43.460041,-6.143835,3.514867,5.320187,0.012345,-1.115381,0.01373,-3.247116,38.965385,-45.5545,-9.414482,2.58587,3.074312,-0.773832,-2.284526,-0.139138,-14.070835,37.883014,-46.776268,6.467686409,3.529837735,5.049602961,0.3717279022,1.279782332,0.0937872086,8.552553637,39.44503802,45.24482881,0.2651678231,0.3796822196,-0.7432141821,-0.6651803963,-0.422665389,-0.237431513,0.07596248339,0.757277355,0.1987230498,3.669919827,0.7245897838,0.952336643,0.3631028142,0.6479626703,0.09377727066,7.345254156,1.115608309,1.14425268,13.46831153,0.5250303548,0.9069450817,0.1318436537,0.4198556221,0.008794176493,53.95275861,1.244581898,1.309314197,-5.325660143,3.454667,4.958986286,-1.103624571,0.001365285714,-4.381029,39.42925871,0
0.1711945,0.0933785,0.19992625,0.0664465,0.047871,0.0256995,0.67648175,0.94707725,0.523617,-1.618886655,-1.841117744,-1.303464053,-1.139181928,-1.346624558,-0.5633645613,-1.580412519,-1.315919132,-1.800701146,5.232450158,1.384433195,1.615173544,0.02191360209,0.5048112294,0.1502394958,9.762089043,2.941999488,1.682009993,0.684777,4.218798,6.335381,0.645388,1.851958,0.18311,1.803953,43.475269,-45.030883,-5.186105,3.270646,5.075966,0.007951,1.4651285,-0.0166305,-9.380556,41.130128,-46.688999,-8.758437,2.006443,2.566715,-0.007096,0.099039,-0.28588,-16.415973,37.883014,-47.998035,5.946485309,3.328863537,4.919024148,0.3231311916,1.361774691,0.1551306853,10.82947968,40.96807361,46.70495401,0.2102426171,-0.07473824863,-0.4339557831,0.8340044801,-0.5793925212,-0.5425773073,0.2647350928,-0.2226103121,0.08768795808,3.767046376,0.9405412307,1.363080657,0.2654503003,0.6711232062,0.1551230528,7.463185988,1.990942881,1.220728917,14.1906384,0.8846178066,1.857988876,0.07046386196,0.4504063579,0.02406316151,55.69914509,3.963853555,1.490179089,-4.601092167,3.1932295,4.726395,1.184915167,-0.001538833333,-7.847196,40.91966767,0
1.221105,1.355187,0.526751,0.398193,0.227213,0.178701,0.721581,2.525531,1.745385,-1.382961421,-1.400905192,-1.206059389,-0.7635747685,-1.0530549,-1.492960724,-1.278726574,-1.633026921,-1.578212854,3.180647296,3.578227837,0.7880623832,0.1780768351,0.1990022828,0.1551750786,7.48872907,9.62835684,1.552625521,2.810936,9.24209,6.502983,-0.11755,-0.043237,0.222066,-22.008226,60.252033,-55.503185,-0.138871,6.072005,5.971443,-0.444591,-0.335657,0.024989,-31.749572,52.31464,-58.993949,-3.543599,1.010405,1.996866,-0.568696,-0.598248,-0.108438,-37.883014,38.604595,-60.390254,2.203609354,6.285221885,5.17070804,0.4156363563,0.3494483168,0.1233829342,31.50707943,50.59293809,58.34193013,-0.05239793452,-0.2577040341,-0.7055626186,0.5023334182,0.07744190851,0.1170623626,0.3137125018,-0.128393958,0.462408877,2.187970233,2.827788126,1.717818961,0.1341007493,0.1686700403,0.112712315,5.565716376,8.321422205,1.879031209,4.787213739,7.996385685,2.950901983,0.01798301096,0.0284495825,0.01270406595,30.97719877,69.24606751,3.530758285,-0.2620695455,5.613165636,4.877019545,-0.3060466364,0.05019245455,-31.01159227,49.90390082,0
